Player,Position,Age,Nationality1,Nationality2,Club,MarketValue(m)
Giovanni Di Lorenzo,Right-Back,29,Italy,,SSC Napoli,€25.00m
Marcelo Brozovic,Defensive Midfield,30,Croatia,,Al-Nassr FC,€25.00m
Yannick Carrasco,Left Winger,29,Belgium,Spain,Atlético de Madrid,€25.00m
Antoine Griezmann,Second Striker,32,France,,Atlético de Madrid,€25.00m
Jorginho,Defensive Midfield,31,Italy,Brazil,Arsenal FC,€25.00m
Karim Benzema,Centre-Forward,35,France,Algeria,Al-Ittihad Club,€25.00m
Benjamin Sesko,Centre-Forward,20,Slovenia,,RB Leipzig,€24.00m
Wendel,Central Midfield,25,Brazil,,Zenit St. Petersburg,€24.00m
Christoph Baumgartner,Attacking Midfield,23,Austria,,RB Leipzig,€24.00m
Gonçalo Guedes,Left Winger,26,Portugal,,Wolverhampton Wanderers,€23.00m
Kamaldeen Sulemana,Left Winger,21,Ghana,,Southampton FC,€22.00m
Tyrick Mitchell,Left-Back,23,England,Jamaica,Crystal Palace,€22.00m
Evanilson,Centre-Forward,23,Brazil,,FC Porto,€22.00m
Julio Enciso,Centre-Forward,19,Paraguay,,Brighton & Hove Albion,€22.00m
Arnaud Kalimuendo,Centre-Forward,21,France,DR Congo,Stade Rennais FC,€22.00m
Rayan Aït-Nouri,Left-Back,22,Algeria,France,Wolverhampton Wanderers,€22.00m
Kang-in Lee,Attacking Midfield,22,South Korea,,RCD Mallorca,€22.00m
Anatoliy Trubin,Goalkeeper,21,Ukraine,,Shakhtar Donetsk,€22.00m
Luis Sinisterra,Left Winger,24,Colombia,,Leeds United,€22.00m
Facundo Medina,Centre-Back,24,Argentina,,RC Lens,€22.00m
Marcos Senesi,Centre-Back,26,Argentina,Italy,AFC Bournemouth,€22.00m
Nathan Collins,Centre-Back,22,Ireland,Brentford FC,€22.00m,
Tanguy Ndombélé,Central Midfield,26,France,DR Congo,Tottenham Hotspur,€22.00m
Charles De Ketelaere,Attacking Midfield,22,Belgium,,AC Milan,€22.00m
Curtis Jones,Central Midfield,22,England,,Liverpool FC,€22.00m
Pedro,Centre-Forward,26,Brazil,,CR Flamengo,€22.00m
Jack Harrison,Left Winger,26,England,,Leeds United,€22.00m
Robert Sánchez,Goalkeeper,25,Spain,England,Brighton & Hove Albion,€22.00m
Exequiel Palacios,Central Midfield,24,Argentina,,Bayer 04 Leverkusen,€22.00m
Hamed Junior Traorè,Attacking Midfield,23,Cote d'Ivoire,,AFC Bournemouth,€22.00m
Nicolò Casale,Centre-Back,25,Italy,,SS Lazio,€22.00m
Arthur Theate,Centre-Back,23,Belgium,,Stade Rennais FC,€22.00m
Pablo Fornals,Attacking Midfield,27,Spain,,West Ham United,€22.00m
Tyrell Malacia,Left-Back,23,Netherlands,Curacao,Manchester United,€22.00m
Valentin Rongier,Central Midfield,28,France,,Olympique Marseille,€22.00m
Mathias Jensen,Central Midfield,27,Denmark,,Brentford FC,€22.00m
Gianluca Scamacca,Centre-Forward,24,Italy,,West Ham United,€22.00m
Steven Bergwijn,Left Winger,25,Netherlands,Suriname,Ajax Amsterdam,€22.00m
Viktor Tsygankov,Right Winger,25,Ukraine,,Girona FC,€22.00m
Kevin Danso,Centre-Back,24,Austria,,RC Lens,€22.00m
Joe Gomez,Centre-Back,26,England,The Gambia,Liverpool FC,€22.00m
Tyrone Mings,Centre-Back,30,England,,Aston Villa,€22.00m
Rafa,Second Striker,30,Portugal,,SL Benfica,€22.00m
Xaver Schlager,Central Midfield,25,Austria,,RB Leipzig,€22.00m
Djibril Sow,Central Midfield,26,Switzerland,Senegal,Eintracht Frankfurt,€22.00m
Solly March,Right Winger,28,England,,Brighton & Hove Albion,€22.00m
Thomas Lemar,Attacking Midfield,27,France ,Guadeloupe,Atlético de Madrid,€22.00m
Filip Kostic,Left Midfield,30,Serbia,,Juventus FC,€22.00m
Kurt Zouma,Centre-Back,28,France ,Central African Republic,West Ham United,€22.00m
Wilfried Zaha,Left Winger,30,Cote d'Ivoire ,England,Without Club,€22.00m
Jordan Pickford,Goalkeeper,29,England,,Everton FC,€22.00m
Christian Eriksen,Central Midfield,31,Denmark,,Manchester United,€22.00m
Gabriel Barbosa,Centre-Forward,26,Brazil,,CR Flamengo,€21.00m
Gift Orban,Centre-Forward,20,Nigeria ,Togo,KAA Gent,€20.00m
Endrick,Centre-Forward,16,Brazil,,Sociedade Esportiva Palmeiras,€20.00m
Alex Scott,Central Midfield,19,England ,Guernsey,Bristol City,€20.00m
Warren Zaïre-Emery,Central Midfield,17,France ,Martinique,Paris Saint-Germain,€20.00m
Mathys Tel,Centre-Forward,18,France ,Guadeloupe,Bayern Munich,€20.00m
Vanderson,Right-Back,22,Brazil,,AS Monaco,€20.00m
Hugo Ekitiké,Centre-Forward,21,France ,Cameroon,Paris Saint-Germain,€20.00m
Rico Lewis,Right-Back,18,England,,Manchester City,€20.00m
Ilya Zabarnyi,Centre-Back,20,Ukraine,,AFC Bournemouth,€20.00m
Enzo Le Fée,Attacking Midfield,23,France,,FC Lorient,€20.00m
Éderson,Central Midfield,23,Brazil,,Atalanta BC,€20.00m
Dwight McNeil,Left Winger,23,England,,Everton FC,€20.00m
Thiago Almada,Attacking Midfield,22,Argentina,,Atlanta United FC,€20.00m
Nicola Zalewski,Left Midfield,21,Poland,,AS Roma,€20.00m
Álex Baena,Attacking Midfield,21,Spain,,Villarreal CF,€20.00m
Illan Meslier,Goalkeeper,23,France,,Leeds United,€20.00m
Terem Moffi,Centre-Forward,24,Nigeria,,OGC Nice,€20.00m
Amine Adli,Left Winger,23,France ,Morocco,Bayer 04 Leverkusen,€20.00m
Malick Thiaw,Centre-Back,21,Germany ,Finland,AC Milan,€20.00m
Taylor Harwood-Bellis,Centre-Back,21,England,,Manchester City,€20.00m
Neco Williams,Right-Back,22,Wales,,Nottingham Forest,€20.00m
Renan Lodi,Left-Back,25,Brazil ,Italy,Atlético de Madrid,€20.00m
Emerson Royal,Right-Back,24,Brazil ,Spain,Tottenham Hotspur,€20.00m
Samuele Ricci,Defensive Midfield,21,Italy,,Torino FC,€20.00m
Armel Bella-Kotchap,Centre-Back,21,Germany ,Cameroon,Southampton FC,€20.00m
Galeno,Left Winger,25,Brazil ,Portugal,FC Porto,€20.00m
Youssef En-Nesyri,Centre-Forward,26,Morocco,,Sevilla FC,€20.00m
Caio Henrique,Left-Back,25,Brazil ,Spain,AS Monaco,€20.00m
James Justin,Right-Back,25,England ,St. Lucia,Leicester City,€20.00m
Ismaïla Sarr,Right Winger,25,Senegal,,Watford FC,€20.00m
Nicolas Seiwald,Central Midfield,22,Austria,,RB Leipzig,€20.00m
Claudinho,Attacking Midfield,26,Brazil ,Russia,Zenit St. Petersburg,€20.00m
Dodô,Right-Back,24,Brazil,,ACF Fiorentina,€20.00m
Arthur Cabral,Centre-Forward,25,Brazil,,ACF Fiorentina,€20.00m
Lovro Majer,Central Midfield,25,Croatia,,Stade Rennais FC,€20.00m
Anel Ahmedhodzic,Centre-Back,24,Bosnia-Herzegovina ,Sweden,Sheffield United,€20.00m
André Almeida,Central Midfield,23,Portugal,,Valencia CF,€20.00m
Florentino,Defensive Midfield,23,Portugal ,Angola,SL Benfica,€20.00m
Noah Okafor,Centre-Forward,23,Switzerland ,Nigeria,Red Bull Salzburg,€20.00m
Ché Adams,Centre-Forward,26,Scotland ,England,Southampton FC,€20.00m
Boubakary Soumaré,Defensive Midfield,24,France ,Senegal,Leicester City,€20.00m
Cengiz Ünder,Right Winger,25,Turkey,,Olympique Marseille,€20.00m
Merih Demiral,Centre-Back,25,Turkey,,Atalanta BC,€20.00m
Sander Berge,Central Midfield,25,Norway,,Sheffield United,€20.00m
Diego Carlos,Centre-Back,30,Brazil ,Spain,Aston Villa,€20.00m
Philip Billing,Central Midfield,27,Denmark ,Nigeria,AFC Bournemouth,€20.00m
Brahim Díaz,Attacking Midfield,23,Spain ,Morocco,Real Madrid,€20.00m
David García,Centre-Back,29,Spain,,CA Osasuna,€20.00m
Jonathan Bamba,Left Winger,27,Cote d'Ivoire ,France,Without Club,€20.00m
Wout Faes,Centre-Back,25,Belgium,,Leicester City,€20.00m
Demarai Gray,Left Winger,27,Jamaica ,England,Everton FC,€20.00m
Mykola Matvienko,Centre-Back,27,Ukraine,,Shakhtar Donetsk,€20.00m
Ludovic Blas,Attacking Midfield,25,France ,Martinique,FC Nantes,€20.00m
Ramy Bensebaini,Left-Back,28,Algeria,,Borussia Dortmund,€20.00m
Mario Hermoso,Centre-Back,28,Spain,,Atlético de Madrid,€20.00m
Borja Iglesias,Centre-Forward,30,Spain,,Real Betis Balompié,€20.00m
Vitaly Janelt,Defensive Midfield,25,Germany,,Brentford FC,€20.00m
Jefferson Lerma,Defensive Midfield,28,Colombia,,Crystal Palace,€20.00m
Davide Calabria,Right-Back,26,Italy,,AC Milan,€20.00m
Ricardo Horta,Left Winger,28,Portugal,,SC Braga,€20.00m
Dominic Solanke,Centre-Forward,25,England ,Nigeria,AFC Bournemouth,€20.00m
Daniel Podence,Left Winger,27,Portugal,,Wolverhampton Wanderers,€20.00m
Breel Embolo,Centre-Forward,26,Switzerland ,Cameroon,AS Monaco,€20.00m
Philipp Lienhart,Centre-Back,26,Austria,,SC Freiburg,€20.00m
Fredrik Aursnes,Defensive Midfield,27,Norway,,SL Benfica,€20.00m
Mario Pasalic,Attacking Midfield,28,Croatia,,Atalanta BC,€20.00m
Nabil Fekir,Attacking Midfield,29,France ,Algeria,Real Betis Balompié,€20.00m
Chancel Mbemba,Centre-Back,28,DR Congo,,Olympique Marseille,€20.00m
Bryan Cristante,Defensive Midfield,28,Italy ,Canada,AS Roma,€20.00m
Jonathan Tah,Centre-Back,27,Germany,,Bayer 04 Leverkusen,€20.00m
Nick Pope,Goalkeeper,31,England,,Newcastle United,€20.00m
Fred,Central Midfield,30,Brazil,,Manchester United,€20.00m
Harry Maguire,Centre-Back,30,England,,Manchester United,€20.00m
Gerard Moreno,Centre-Forward,31,Spain,,Villarreal CF,€20.00m
Riyad Mahrez,Right Winger,32,Algeria ,France,Manchester City,€20.00m
Raphaël Guerreiro,Left-Back,29,Portugal ,France,Bayern Munich,€20.00m
Álvaro Morata,Centre-Forward,30,Spain,,Atlético de Madrid,€20.00m
Granit Xhaka,Central Midfield,30,Switzerland,,Arsenal FC,€20.00m
Marcel Sabitzer,Central Midfield,29,Austria,,Bayern Munich,€20.00m
Ilkay Gündogan,Central Midfield,32,Germany,,FC Barcelona,€20.00m
Ivan Ilic,Central Midfield,22,Serbia,,Torino FC,€19.00m
Giorgian de Arrascaeta,Attacking Midfield,29,Uruguay ,Italy,CR Flamengo,€19.00m
Mauro Icardi,Centre-Forward,30,Argentina ,Italy,Paris Saint-Germain,€19.00m
Vitor Roque,Centre-Forward,18,Brazil,,Club Athletico Paranaense,€18.00m
Eliesse Ben Seghir,Attacking Midfield,18,France ,Morocco,AS Monaco,€18.00m
João Gomes,Central Midfield,22,Brazil,,Wolverhampton Wanderers,€18.00m
Bradley Barcola,Right Winger,20,France ,Togo,Olympique Lyon,€18.00m
Salis Abdul Samed,Defensive Midfield,23,Ghana,,RC Lens,€18.00m
Adrien Truffert,Left-Back,21,France,,Stade Rennais FC,€18.00m
Odilon Kossounou,Centre-Back,22,Cote d'Ivoire,,Bayer 04 Leverkusen,€18.00m
Wilfried Gnonto,Left Winger,19,Italy ,Cote d'Ivoire,Leeds United,€18.00m
Iliman Ndiaye,Centre-Forward,23,Senegal ,France,Sheffield United,€18.00m
Vitinha,Centre-Forward,23,Portugal,,Olympique Marseille,€18.00m
